============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 10000 layouts
Elite size: 1500 (15.0%)
Tournament size: 5
Mutation rate: 0.15

Gen   1/150 | Best:  1,375,854.6 | Avg:  2,361,680.5
Gen   2/150 | Best:  1,318,641.0 | Avg:  2,097,138.2
Gen   3/150 | Best:  1,294,291.2 | Avg:  1,963,728.1
Gen   4/150 | Best:  1,208,200.4 | Avg:  1,871,529.9
Gen   5/150 | Best:  1,102,685.3 | Avg:  1,800,273.7
Gen   6/150 | Best:  1,090,535.7 | Avg:  1,749,330.8
Gen   7/150 | Best:  1,090,535.7 | Avg:  1,713,731.5
Gen   8/150 | Best:  1,090,535.7 | Avg:  1,680,530.3
Gen   9/150 | Best:  1,079,233.1 | Avg:  1,658,494.7
Gen  10/150 | Best:  1,057,563.2 | Avg:  1,623,348.2
Gen  11/150 | Best:  1,057,563.2 | Avg:  1,606,914.6
Gen  12/150 | Best:  1,057,563.2 | Avg:  1,583,410.0
Gen  13/150 | Best:  1,029,245.0 | Avg:  1,563,670.4
Gen  14/150 | Best:  1,029,245.0 | Avg:  1,545,569.8
Gen  15/150 | Best:  1,029,245.0 | Avg:  1,526,569.0
Gen  16/150 | Best:  1,029,245.0 | Avg:  1,506,503.5
Gen  17/150 | Best:  1,013,406.8 | Avg:  1,493,459.5
Gen  18/150 | Best:  1,013,406.8 | Avg:  1,469,924.4
Gen  19/150 | Best:    998,782.4 | Avg:  1,450,686.5
Gen  20/150 | Best:    998,782.4 | Avg:  1,434,067.3
Gen  21/150 | Best:    970,573.1 | Avg:  1,411,844.8
Gen  22/150 | Best:    970,573.1 | Avg:  1,394,058.1
Gen  23/150 | Best:    968,924.9 | Avg:  1,362,188.6
Gen  24/150 | Best:    968,924.9 | Avg:  1,328,809.7
Gen  25/150 | Best:    952,249.0 | Avg:  1,291,326.6
Gen  26/150 | Best:    952,249.0 | Avg:  1,255,406.1
Gen  27/150 | Best:    945,392.1 | Avg:  1,225,104.3
Gen  28/150 | Best:    939,903.5 | Avg:  1,194,976.9
Gen  29/150 | Best:    913,554.0 | Avg:  1,167,317.1
Gen  30/150 | Best:    909,921.2 | Avg:  1,151,139.4
Gen  31/150 | Best:    907,098.4 | Avg:  1,120,068.7
Gen  32/150 | Best:    907,098.4 | Avg:  1,092,153.4
Gen  33/150 | Best:    897,957.3 | Avg:  1,068,476.8
Gen  34/150 | Best:    879,640.3 | Avg:  1,044,579.7
Gen  35/150 | Best:    879,640.3 | Avg:  1,021,874.9
Gen  36/150 | Best:    879,640.3 | Avg:    999,035.5
Gen  37/150 | Best:    871,257.9 | Avg:    972,178.6
Gen  38/150 | Best:    864,762.7 | Avg:    949,694.0
Gen  39/150 | Best:    864,762.7 | Avg:    935,159.6
Gen  40/150 | Best:    864,762.7 | Avg:    934,016.8
Gen  41/150 | Best:    857,077.5 | Avg:    941,270.9
Gen  42/150 | Best:    855,360.2 | Avg:    947,208.1
Gen  43/150 | Best:    854,128.2 | Avg:    943,094.7
Gen  44/150 | Best:    844,053.2 | Avg:    941,477.3
Gen  45/150 | Best:    844,053.2 | Avg:    941,339.4
Gen  46/150 | Best:    841,274.5 | Avg:    935,268.3
Gen  47/150 | Best:    836,705.5 | Avg:    920,033.6
Gen  48/150 | Best:    833,552.3 | Avg:    915,940.4
Gen  49/150 | Best:    829,364.2 | Avg:    899,264.6
Gen  50/150 | Best:    827,905.7 | Avg:    874,066.3
Gen  51/150 | Best:    820,933.0 | Avg:    867,362.8
Gen  52/150 | Best:    820,134.0 | Avg:    865,986.6
Gen  53/150 | Best:    820,134.0 | Avg:    868,773.1
Gen  54/150 | Best:    808,853.2 | Avg:    876,036.9
Gen  55/150 | Best:    808,853.2 | Avg:    886,531.7
Gen  56/150 | Best:    808,060.3 | Avg:    886,186.0
Gen  57/150 | Best:    808,060.3 | Avg:    871,223.1
Gen  58/150 | Best:    807,808.3 | Avg:    861,047.8
Gen  59/150 | Best:    801,941.7 | Avg:    866,701.2
Gen  60/150 | Best:    801,188.7 | Avg:    877,913.5
Gen  61/150 | Best:    800,027.2 | Avg:    854,858.3
Gen  62/150 | Best:    800,027.2 | Avg:    825,577.5
Gen  63/150 | Best:    799,685.1 | Avg:    826,874.8
Gen  64/150 | Best:    799,685.1 | Avg:    822,030.1
Gen  65/150 | Best:    799,685.1 | Avg:    818,511.8
Gen  66/150 | Best:    799,685.1 | Avg:    819,785.2
Gen  67/150 | Best:    799,685.1 | Avg:    816,795.4
Gen  68/150 | Best:    799,685.1 | Avg:    816,329.4
Gen  69/150 | Best:    799,685.1 | Avg:    817,214.1
Gen  70/150 | Best:    799,685.1 | Avg:    816,162.4
Gen  71/150 | Best:    799,685.1 | Avg:    817,397.6
Gen  72/150 | Best:    799,685.1 | Avg:    816,251.4
Gen  73/150 | Best:    799,685.1 | Avg:    816,363.8
Gen  74/150 | Best:    799,685.1 | Avg:    815,813.8
Gen  75/150 | Best:    799,685.1 | Avg:    815,899.5
Gen  76/150 | Best:    799,685.1 | Avg:    815,079.1
Gen  77/150 | Best:    799,685.1 | Avg:    816,520.1
Gen  78/150 | Best:    799,685.1 | Avg:    816,087.4
Gen  79/150 | Best:    799,685.1 | Avg:    816,436.8
Gen  80/150 | Best:    799,685.1 | Avg:    815,587.0
Gen  81/150 | Best:    799,685.1 | Avg:    816,664.6
Gen  82/150 | Best:    799,685.1 | Avg:    815,512.3
Gen  83/150 | Best:    799,685.1 | Avg:    815,779.8
Gen  84/150 | Best:    799,685.1 | Avg:    816,662.5
Gen  85/150 | Best:    799,685.1 | Avg:    815,878.2
Gen  86/150 | Best:    799,685.1 | Avg:    816,496.7
Gen  87/150 | Best:    799,685.1 | Avg:    815,860.1
Gen  88/150 | Best:    799,685.1 | Avg:    815,742.6
Gen  89/150 | Best:    799,685.1 | Avg:    817,432.1
Gen  90/150 | Best:    799,685.1 | Avg:    815,537.5
Gen  91/150 | Best:    799,685.1 | Avg:    817,289.3
Gen  92/150 | Best:    799,685.1 | Avg:    815,918.2
