============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 100000 layouts
Elite size: 10000 (10.0%)
Tournament size: 5
Mutation rate: 0.15

Gen   1/150 | Best:  1,265,602.1 | Avg:  2,359,067.8
Gen   2/150 | Best:  1,198,083.0 | Avg:  2,098,112.4
Gen   3/150 | Best:  1,162,034.9 | Avg:  1,966,184.5
Gen   4/150 | Best:  1,150,243.0 | Avg:  1,881,318.3
Gen   5/150 | Best:  1,146,343.1 | Avg:  1,820,009.4
Gen   6/150 | Best:  1,128,974.5 | Avg:  1,770,391.8
Gen   7/150 | Best:  1,099,246.0 | Avg:  1,735,323.7
Gen   8/150 | Best:  1,043,482.0 | Avg:  1,705,578.7
Gen   9/150 | Best:  1,043,482.0 | Avg:  1,675,945.3
Gen  10/150 | Best:  1,013,098.3 | Avg:  1,651,438.6
Gen  11/150 | Best:    986,355.6 | Avg:  1,635,775.6
Gen  12/150 | Best:    986,355.6 | Avg:  1,619,289.2
Gen  13/150 | Best:    986,355.6 | Avg:  1,603,950.5
Gen  14/150 | Best:    979,259.6 | Avg:  1,590,343.6
Gen  15/150 | Best:    979,259.6 | Avg:  1,576,407.6
Gen  16/150 | Best:    967,127.0 | Avg:  1,566,748.2
Gen  17/150 | Best:    967,127.0 | Avg:  1,558,615.5
Gen  18/150 | Best:    959,820.7 | Avg:  1,550,917.1
Gen  19/150 | Best:    929,291.5 | Avg:  1,544,276.7
Gen  20/150 | Best:    929,291.5 | Avg:  1,534,844.0
Gen  21/150 | Best:    929,291.5 | Avg:  1,528,184.8
Gen  22/150 | Best:    929,291.5 | Avg:  1,522,528.9
Gen  23/150 | Best:    929,291.5 | Avg:  1,516,614.7
Gen  24/150 | Best:    929,291.5 | Avg:  1,511,322.8
Gen  25/150 | Best:    929,291.5 | Avg:  1,503,555.7
Gen  26/150 | Best:    929,291.5 | Avg:  1,497,476.3
Gen  27/150 | Best:    926,940.5 | Avg:  1,490,043.3
Gen  28/150 | Best:    926,940.5 | Avg:  1,481,479.3
Gen  29/150 | Best:    906,751.9 | Avg:  1,474,232.0
Gen  30/150 | Best:    889,950.1 | Avg:  1,465,489.2
Gen  31/150 | Best:    889,950.1 | Avg:  1,452,314.1
Gen  32/150 | Best:    889,950.1 | Avg:  1,443,130.3
Gen  33/150 | Best:    879,466.3 | Avg:  1,431,021.8
Gen  34/150 | Best:    879,466.3 | Avg:  1,415,714.6
Gen  35/150 | Best:    879,466.3 | Avg:  1,390,383.4
Gen  36/150 | Best:    879,466.3 | Avg:  1,361,043.9
Gen  37/150 | Best:    861,530.0 | Avg:  1,314,145.5
Gen  38/150 | Best:    854,900.2 | Avg:  1,253,620.0
Gen  39/150 | Best:    848,606.3 | Avg:  1,170,181.8
Gen  40/150 | Best:    847,165.5 | Avg:  1,074,318.4
Gen  41/150 | Best:    838,888.1 | Avg:  1,005,452.0
Gen  42/150 | Best:    827,615.7 | Avg:    965,477.3
Gen  43/150 | Best:    827,615.7 | Avg:    929,826.0
Gen  44/150 | Best:    827,615.7 | Avg:    897,930.4
Gen  45/150 | Best:    826,592.8 | Avg:    883,664.4
Gen  46/150 | Best:    826,592.8 | Avg:    877,520.6
Gen  47/150 | Best:    821,440.0 | Avg:    871,082.5
Gen  48/150 | Best:    821,440.0 | Avg:    865,157.5
Gen  49/150 | Best:    818,495.9 | Avg:    877,163.8
Gen  50/150 | Best:    818,495.9 | Avg:    893,292.1
Gen  51/150 | Best:    808,402.4 | Avg:    909,858.4
Gen  52/150 | Best:    808,402.4 | Avg:    929,586.3
Gen  53/150 | Best:    808,402.4 | Avg:    942,670.2
Gen  54/150 | Best:    808,402.4 | Avg:    946,836.6
Gen  55/150 | Best:    804,291.8 | Avg:    922,975.5
Gen  56/150 | Best:    803,525.9 | Avg:    886,971.7
Gen  57/150 | Best:    801,604.8 | Avg:    875,507.0
Gen  58/150 | Best:    801,604.8 | Avg:    854,240.7
Gen  59/150 | Best:    801,397.4 | Avg:    842,655.9
Gen  60/150 | Best:    801,214.8 | Avg:    846,402.7
Gen  61/150 | Best:    798,843.9 | Avg:    854,263.4
Gen  62/150 | Best:    795,157.8 | Avg:    870,249.1
