============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 10000 layouts
Elite size: 1500 (15.0%)
Tournament size: 5
Mutation rate: 0.3

Gen   1/150 | Best:  1,375,854.6 | Avg:  2,361,680.5
Gen   2/150 | Best:  1,337,589.1 | Avg:  2,099,447.2
Gen   3/150 | Best:  1,257,440.7 | Avg:  1,968,063.8
Gen   4/150 | Best:  1,241,222.3 | Avg:  1,880,149.4
Gen   5/150 | Best:  1,213,840.0 | Avg:  1,807,907.4
Gen   6/150 | Best:  1,152,216.3 | Avg:  1,756,943.4
Gen   7/150 | Best:  1,134,639.4 | Avg:  1,723,265.4
Gen   8/150 | Best:  1,112,887.9 | Avg:  1,688,367.4
Gen   9/150 | Best:  1,112,887.9 | Avg:  1,665,229.7
Gen  10/150 | Best:  1,060,949.4 | Avg:  1,638,662.2
Gen  11/150 | Best:  1,060,755.4 | Avg:  1,613,770.4
Gen  12/150 | Best:  1,015,620.3 | Avg:  1,595,730.3
Gen  13/150 | Best:  1,015,620.3 | Avg:  1,575,555.1
Gen  14/150 | Best:  1,015,620.3 | Avg:  1,564,745.7
Gen  15/150 | Best:  1,002,365.5 | Avg:  1,549,640.8
Gen  16/150 | Best:  1,002,365.5 | Avg:  1,534,400.9
Gen  17/150 | Best:  1,002,365.5 | Avg:  1,534,012.8
Gen  18/150 | Best:    970,815.8 | Avg:  1,521,792.6
Gen  19/150 | Best:    970,815.8 | Avg:  1,511,279.0
Gen  20/150 | Best:    969,757.6 | Avg:  1,501,099.8
Gen  21/150 | Best:    969,757.6 | Avg:  1,485,269.5
Gen  22/150 | Best:    965,999.0 | Avg:  1,479,110.6
Gen  23/150 | Best:    948,787.0 | Avg:  1,469,793.7
Gen  24/150 | Best:    948,787.0 | Avg:  1,458,280.3
Gen  25/150 | Best:    948,787.0 | Avg:  1,449,810.0
Gen  26/150 | Best:    938,538.6 | Avg:  1,439,136.5
Gen  27/150 | Best:    938,538.6 | Avg:  1,426,771.2
Gen  28/150 | Best:    908,763.8 | Avg:  1,404,253.3
Gen  29/150 | Best:    908,763.8 | Avg:  1,376,141.1
Gen  30/150 | Best:    907,874.7 | Avg:  1,334,699.1
Gen  31/150 | Best:    907,874.7 | Avg:  1,265,047.4
Gen  32/150 | Best:    899,669.0 | Avg:  1,186,443.4
Gen  33/150 | Best:    899,669.0 | Avg:  1,118,195.9
Gen  34/150 | Best:    890,658.0 | Avg:  1,077,161.8
Gen  35/150 | Best:    890,658.0 | Avg:  1,051,158.7
Gen  36/150 | Best:    878,235.1 | Avg:  1,033,024.2
Gen  37/150 | Best:    872,677.0 | Avg:  1,026,133.2
Gen  38/150 | Best:    856,892.4 | Avg:  1,027,146.2
Gen  39/150 | Best:    856,892.4 | Avg:  1,023,473.9
Gen  40/150 | Best:    849,676.4 | Avg:  1,020,855.6
Gen  41/150 | Best:    845,479.4 | Avg:  1,017,061.1
Gen  42/150 | Best:    843,286.5 | Avg:  1,011,764.0
Gen  43/150 | Best:    843,286.5 | Avg:  1,005,925.0
Gen  44/150 | Best:    837,948.2 | Avg:    992,179.3
Gen  45/150 | Best:    836,248.2 | Avg:    964,135.0
Gen  46/150 | Best:    836,248.2 | Avg:    930,189.2
Gen  47/150 | Best:    829,832.7 | Avg:    906,147.7
Gen  48/150 | Best:    828,742.6 | Avg:    898,647.6
Gen  49/150 | Best:    828,742.6 | Avg:    900,607.6
Gen  50/150 | Best:    820,909.6 | Avg:    917,787.0
Gen  51/150 | Best:    820,909.6 | Avg:    941,413.4
Gen  52/150 | Best:    820,909.6 | Avg:    961,878.2
Gen  53/150 | Best:    820,716.1 | Avg:    972,843.6
Gen  54/150 | Best:    813,555.6 | Avg:    978,212.4
Gen  55/150 | Best:    812,478.2 | Avg:    987,342.0
Gen  56/150 | Best:    812,478.2 | Avg:    993,204.7
Gen  57/150 | Best:    807,921.3 | Avg:  1,013,889.0
Gen  58/150 | Best:    807,921.3 | Avg:  1,021,617.2
Gen  59/150 | Best:    807,921.3 | Avg:  1,025,845.0
Gen  60/150 | Best:    801,050.8 | Avg:  1,011,799.9
Gen  61/150 | Best:    801,050.8 | Avg:    990,752.1
Gen  62/150 | Best:    799,299.0 | Avg:    972,956.0
Gen  63/150 | Best:    797,632.3 | Avg:    934,800.4
Gen  64/150 | Best:    794,991.1 | Avg:    898,007.8
Gen  65/150 | Best:    794,991.1 | Avg:    900,064.8
Gen  66/150 | Best:    786,749.2 | Avg:    902,399.3
Gen  67/150 | Best:    786,004.2 | Avg:    905,185.8
Gen  68/150 | Best:    784,000.7 | Avg:    915,329.6
Gen  69/150 | Best:    781,154.4 | Avg:    904,172.4
Gen  70/150 | Best:    781,154.4 | Avg:    876,337.8
Gen  71/150 | Best:    781,154.4 | Avg:    867,720.9
Gen  72/150 | Best:    780,374.2 | Avg:    868,351.6
Gen  73/150 | Best:    779,980.7 | Avg:    854,370.9
Gen  74/150 | Best:    779,980.7 | Avg:    846,989.6
Gen  75/150 | Best:    778,918.7 | Avg:    824,240.9
Gen  76/150 | Best:    778,918.7 | Avg:    823,522.6
Gen  77/150 | Best:    778,528.1 | Avg:    827,267.5
Gen  78/150 | Best:    778,132.5 | Avg:    826,078.3
Gen  79/150 | Best:    778,132.5 | Avg:    817,211.3
Gen  80/150 | Best:    778,132.5 | Avg:    819,420.1
Gen  81/150 | Best:    778,132.5 | Avg:    819,079.7
Gen  82/150 | Best:    778,132.5 | Avg:    820,106.9
Gen  83/150 | Best:    778,132.5 | Avg:    824,056.3
Gen  84/150 | Best:    778,132.5 | Avg:    821,390.8
Gen  85/150 | Best:    778,132.5 | Avg:    816,249.8
Gen  86/150 | Best:    778,132.5 | Avg:    813,604.7
Gen  87/150 | Best:    778,132.5 | Avg:    812,531.4
Gen  88/150 | Best:    778,132.5 | Avg:    814,824.7
Gen  89/150 | Best:    778,132.5 | Avg:    812,637.6
Gen  90/150 | Best:    778,132.5 | Avg:    816,049.6
Gen  91/150 | Best:    778,132.5 | Avg:    814,186.6
Gen  92/150 | Best:    778,132.5 | Avg:    813,426.2
Gen  93/150 | Best:    778,132.5 | Avg:    814,382.9
Gen  94/150 | Best:    778,132.5 | Avg:    812,856.5
Gen  95/150 | Best:    778,132.5 | Avg:    813,428.5
Gen  96/150 | Best:    778,132.5 | Avg:    813,407.6
Gen  97/150 | Best:    778,132.5 | Avg:    814,061.5
Gen  98/150 | Best:    778,132.5 | Avg:    814,016.1
Gen  99/150 | Best:    778,132.5 | Avg:    812,359.1
Gen 100/150 | Best:    778,132.5 | Avg:    813,746.8
Gen 101/150 | Best:    778,132.5 | Avg:    814,431.5
Gen 102/150 | Best:    778,132.5 | Avg:    811,316.3
Gen 103/150 | Best:    778,132.5 | Avg:    813,495.6
Gen 104/150 | Best:    778,132.5 | Avg:    814,003.5
Gen 105/150 | Best:    778,132.5 | Avg:    813,001.7
Gen 106/150 | Best:    778,132.5 | Avg:    812,761.1
Gen 107/150 | Best:    778,132.5 | Avg:    812,562.6
Gen 108/150 | Best:    778,132.5 | Avg:    813,948.1
Gen 109/150 | Best:    778,132.5 | Avg:    812,795.1
Gen 110/150 | Best:    778,132.5 | Avg:    813,466.4
Gen 111/150 | Best:    778,132.5 | Avg:    813,633.6
Gen 112/150 | Best:    778,132.5 | Avg:    814,242.5
Gen 113/150 | Best:    778,132.5 | Avg:    812,936.2
Gen 114/150 | Best:    778,132.5 | Avg:    811,875.8
Gen 115/150 | Best:    778,132.5 | Avg:    812,979.4
Gen 116/150 | Best:    778,132.5 | Avg:    813,626.3
Gen 117/150 | Best:    778,132.5 | Avg:    813,351.5
Gen 118/150 | Best:    778,132.5 | Avg:    813,007.6
Gen 119/150 | Best:    778,132.5 | Avg:    812,983.5
Gen 120/150 | Best:    778,132.5 | Avg:    812,854.0
Gen 121/150 | Best:    778,132.5 | Avg:    814,638.8
Gen 122/150 | Best:    778,132.5 | Avg:    812,021.4
Gen 123/150 | Best:    778,132.5 | Avg:    813,994.1
Gen 124/150 | Best:    778,132.5 | Avg:    812,155.1
Gen 125/150 | Best:    778,132.5 | Avg:    813,322.1
Gen 126/150 | Best:    778,132.5 | Avg:    812,946.1
Gen 127/150 | Best:    778,132.5 | Avg:    815,365.8
Gen 128/150 | Best:    778,132.5 | Avg:    814,017.6
Gen 129/150 | Best:    778,132.5 | Avg:    814,426.1
Gen 130/150 | Best:    778,132.5 | Avg:    813,554.7
Gen 131/150 | Best:    778,132.5 | Avg:    813,105.8
Gen 132/150 | Best:    778,132.5 | Avg:    813,445.6
Gen 133/150 | Best:    778,132.5 | Avg:    812,707.2
Gen 134/150 | Best:    778,132.5 | Avg:    811,943.4
Gen 135/150 | Best:    778,132.5 | Avg:    812,704.9
Gen 136/150 | Best:    778,132.5 | Avg:    812,501.7
Gen 137/150 | Best:    778,132.5 | Avg:    812,754.4
Gen 138/150 | Best:    778,132.5 | Avg:    813,992.5
Gen 139/150 | Best:    778,132.5 | Avg:    813,073.5
Gen 140/150 | Best:    778,132.5 | Avg:    814,155.3
Gen 141/150 | Best:    778,132.5 | Avg:    812,203.2
Gen 142/150 | Best:    778,132.5 | Avg:    812,021.4
Gen 143/150 | Best:    778,132.5 | Avg:    814,719.8
Gen 144/150 | Best:    778,132.5 | Avg:    812,890.0
Gen 145/150 | Best:    778,132.5 | Avg:    814,329.7
Gen 146/150 | Best:    778,132.5 | Avg:    813,814.9
Gen 147/150 | Best:    778,132.5 | Avg:    814,629.2
Gen 148/150 | Best:    778,132.5 | Avg:    814,060.9
Gen 149/150 | Best:    778,132.5 | Avg:    812,028.0
Gen 150/150 | Best:    778,132.5 | Avg:    813,238.2

============================================================
EVOLUTION COMPLETE
============================================================


QWERTY Fitness: 1,821,199.8

QWERTY:
   q  w  e  r  t  y  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   z  x  c  v  b  n  m  ,  .  '

DVORAK Fitness: 1,433,882.9

DVORAK:
   '  ,  .  p  y  f  g  c  r  l
   a  o  e  u  i  d  h  t  n  s
   ;  q  j  k  x  b  m  w  v  z

QWERTZ Fitness: 1,877,982.0

QWERTZ:
   q  w  e  r  t  z  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   y  x  c  v  b  n  m  ,  .  '

COLEMAK Fitness: 1,368,940.0

COLEMAK:
   q  w  f  p  g  j  l  u  y  ;
   a  r  s  t  d  h  n  e  i  o
   z  x  c  v  b  k  m  ,  .  '


Best Evolved Fitness: 778,132.5
Improvement vs QWERTY: 57.27%
Improvement vs DVORAK: 45.73%
Improvement vs QWERTZ: 58.57%
Improvement vs COLEMAK: 43.16%

Layout representation:
['j', 'k', 'u', 't', 'o', 'h', 'w', 'c', 'f', 'q', '.', 'g', 'i', 'a', 'e', 's', 'n', 'r', 'm', 'v', "'", ';', ',', 'p', 'y', 'l', 'd', 'b', 'x', 'z']

OPTIMIZED LAYOUT:
