============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 10000 layouts
Elite size: 1500 (15.0%)
Tournament size: 5
Mutation rate: 0.75

Gen   1/150 | Best:  1,375,854.6 | Avg:  2,361,680.5
Gen   2/150 | Best:  1,316,817.2 | Avg:  2,105,770.3
Gen   3/150 | Best:  1,281,235.3 | Avg:  1,977,856.5
Gen   4/150 | Best:  1,190,470.2 | Avg:  1,897,710.0
Gen   5/150 | Best:  1,153,631.6 | Avg:  1,834,052.3
Gen   6/150 | Best:  1,138,855.4 | Avg:  1,787,814.6
Gen   7/150 | Best:  1,138,855.4 | Avg:  1,756,291.3
Gen   8/150 | Best:  1,138,855.4 | Avg:  1,722,303.4
Gen   9/150 | Best:  1,132,413.8 | Avg:  1,702,921.5
Gen  10/150 | Best:  1,101,829.7 | Avg:  1,674,817.3
Gen  11/150 | Best:  1,063,586.2 | Avg:  1,653,483.3
Gen  12/150 | Best:  1,063,586.2 | Avg:  1,637,329.7
Gen  13/150 | Best:  1,027,683.8 | Avg:  1,622,105.7
Gen  14/150 | Best:  1,027,683.8 | Avg:  1,608,131.2
Gen  15/150 | Best:  1,027,683.8 | Avg:  1,604,978.2
Gen  16/150 | Best:  1,027,683.8 | Avg:  1,591,019.5
Gen  17/150 | Best:  1,013,970.8 | Avg:  1,579,005.7
Gen  18/150 | Best:  1,013,970.8 | Avg:  1,571,393.7
Gen  19/150 | Best:  1,013,970.8 | Avg:  1,565,164.5
Gen  20/150 | Best:  1,013,970.8 | Avg:  1,559,950.2
Gen  21/150 | Best:    974,328.6 | Avg:  1,546,643.4
Gen  22/150 | Best:    974,328.6 | Avg:  1,546,367.7
Gen  23/150 | Best:    960,210.1 | Avg:  1,540,890.7
Gen  24/150 | Best:    960,210.1 | Avg:  1,532,614.2
Gen  25/150 | Best:    945,727.1 | Avg:  1,517,171.3
Gen  26/150 | Best:    945,727.1 | Avg:  1,506,712.6
Gen  27/150 | Best:    945,727.1 | Avg:  1,510,365.3
Gen  28/150 | Best:    937,965.8 | Avg:  1,498,349.2
Gen  29/150 | Best:    937,965.8 | Avg:  1,491,255.3
Gen  30/150 | Best:    937,965.8 | Avg:  1,491,026.8
Gen  31/150 | Best:    937,965.8 | Avg:  1,479,090.4
Gen  32/150 | Best:    937,965.8 | Avg:  1,460,511.6
Gen  33/150 | Best:    937,965.8 | Avg:  1,458,917.3
Gen  34/150 | Best:    937,965.8 | Avg:  1,452,178.1
Gen  35/150 | Best:    923,794.6 | Avg:  1,447,643.4
Gen  36/150 | Best:    923,794.6 | Avg:  1,438,257.0
Gen  37/150 | Best:    923,794.6 | Avg:  1,423,151.8
Gen  38/150 | Best:    923,794.6 | Avg:  1,420,741.5
Gen  39/150 | Best:    923,794.6 | Avg:  1,419,866.3
Gen  40/150 | Best:    910,240.5 | Avg:  1,411,311.9
Gen  41/150 | Best:    910,240.5 | Avg:  1,409,687.7
Gen  42/150 | Best:    910,240.5 | Avg:  1,399,743.1
Gen  43/150 | Best:    910,240.5 | Avg:  1,395,685.8
Gen  44/150 | Best:    879,332.7 | Avg:  1,382,700.5
Gen  45/150 | Best:    866,874.5 | Avg:  1,382,777.3
Gen  46/150 | Best:    866,874.5 | Avg:  1,371,332.6
Gen  47/150 | Best:    866,874.5 | Avg:  1,366,043.4
Gen  48/150 | Best:    866,874.5 | Avg:  1,357,117.0
Gen  49/150 | Best:    866,874.5 | Avg:  1,354,198.1
Gen  50/150 | Best:    866,874.5 | Avg:  1,338,283.4
Gen  51/150 | Best:    866,874.5 | Avg:  1,340,658.0
Gen  52/150 | Best:    866,874.5 | Avg:  1,335,286.5
Gen  53/150 | Best:    866,874.5 | Avg:  1,323,776.7
Gen  54/150 | Best:    866,874.5 | Avg:  1,315,937.3
Gen  55/150 | Best:    866,874.5 | Avg:  1,300,048.3
Gen  56/150 | Best:    866,874.5 | Avg:  1,288,003.7
Gen  57/150 | Best:    866,874.5 | Avg:  1,280,914.1
Gen  58/150 | Best:    866,874.5 | Avg:  1,264,370.6
Gen  59/150 | Best:    866,874.5 | Avg:  1,248,150.0
Gen  60/150 | Best:    866,874.5 | Avg:  1,225,979.3
Gen  61/150 | Best:    866,874.5 | Avg:  1,204,055.3
Gen  62/150 | Best:    866,874.5 | Avg:  1,194,943.5
Gen  63/150 | Best:    866,874.5 | Avg:  1,175,407.6
Gen  64/150 | Best:    857,722.7 | Avg:  1,160,745.3
Gen  65/150 | Best:    857,722.7 | Avg:  1,147,784.7
Gen  66/150 | Best:    857,722.7 | Avg:  1,131,892.3
Gen  67/150 | Best:    857,722.7 | Avg:  1,116,368.2
Gen  68/150 | Best:    851,621.1 | Avg:  1,107,825.9
Gen  69/150 | Best:    851,621.1 | Avg:  1,102,990.4
Gen  70/150 | Best:    850,123.5 | Avg:  1,102,748.3
Gen  71/150 | Best:    848,604.7 | Avg:  1,098,546.5
Gen  72/150 | Best:    848,604.7 | Avg:  1,094,320.4
Gen  73/150 | Best:    848,092.7 | Avg:  1,094,047.2
Gen  74/150 | Best:    842,853.1 | Avg:  1,086,444.6
Gen  75/150 | Best:    842,853.1 | Avg:  1,075,490.7
Gen  76/150 | Best:    842,853.1 | Avg:  1,056,822.8
Gen  77/150 | Best:    842,853.1 | Avg:  1,043,021.1
Gen  78/150 | Best:    842,853.1 | Avg:  1,040,386.7
Gen  79/150 | Best:    842,788.0 | Avg:  1,028,493.6
Gen  80/150 | Best:    842,531.6 | Avg:  1,039,490.4
Gen  81/150 | Best:    840,512.4 | Avg:  1,035,376.2
Gen  82/150 | Best:    837,629.9 | Avg:  1,041,596.3
Gen  83/150 | Best:    837,629.9 | Avg:  1,048,256.6
Gen  84/150 | Best:    837,629.9 | Avg:  1,048,106.7
Gen  85/150 | Best:    837,629.9 | Avg:  1,053,780.7
Gen  86/150 | Best:    837,629.9 | Avg:  1,056,240.3
Gen  87/150 | Best:    837,629.9 | Avg:  1,048,129.2
Gen  88/150 | Best:    831,421.1 | Avg:  1,047,329.0
Gen  89/150 | Best:    831,421.1 | Avg:  1,039,671.2
Gen  90/150 | Best:    831,421.1 | Avg:  1,024,150.1
Gen  91/150 | Best:    831,421.1 | Avg:  1,014,051.2
Gen  92/150 | Best:    831,421.1 | Avg:  1,008,431.7
Gen  93/150 | Best:    826,533.8 | Avg:    997,462.6
Gen  94/150 | Best:    824,306.1 | Avg:    997,969.0
Gen  95/150 | Best:    824,306.1 | Avg:  1,004,670.5
Gen  96/150 | Best:    824,306.1 | Avg:  1,025,144.4
Gen  97/150 | Best:    824,306.1 | Avg:  1,023,017.8
Gen  98/150 | Best:    824,306.1 | Avg:  1,027,436.3
Gen  99/150 | Best:    824,306.1 | Avg:  1,020,440.9
Gen 100/150 | Best:    824,306.1 | Avg:  1,019,476.2
Gen 101/150 | Best:    821,818.5 | Avg:  1,022,782.7
Gen 102/150 | Best:    821,818.5 | Avg:  1,035,923.7
Gen 103/150 | Best:    812,412.7 | Avg:  1,045,927.3
Gen 104/150 | Best:    812,412.7 | Avg:  1,050,177.0
Gen 105/150 | Best:    812,412.7 | Avg:  1,044,141.9
Gen 106/150 | Best:    812,412.7 | Avg:  1,039,087.0
Gen 107/150 | Best:    808,779.4 | Avg:  1,032,422.9
Gen 108/150 | Best:    808,779.4 | Avg:  1,015,960.8
Gen 109/150 | Best:    805,576.4 | Avg:  1,001,464.9
Gen 110/150 | Best:    805,576.4 | Avg:    985,636.4
Gen 111/150 | Best:    805,576.4 | Avg:    972,532.2
Gen 112/150 | Best:    805,576.4 | Avg:    969,993.6
Gen 113/150 | Best:    805,576.4 | Avg:    971,913.0
Gen 114/150 | Best:    805,071.2 | Avg:    972,033.1
Gen 115/150 | Best:    801,753.6 | Avg:    974,915.5
Gen 116/150 | Best:    801,753.6 | Avg:    976,996.0
Gen 117/150 | Best:    801,753.6 | Avg:    976,009.7
Gen 118/150 | Best:    801,454.7 | Avg:    968,860.1
Gen 119/150 | Best:    801,454.7 | Avg:    959,957.2
Gen 120/150 | Best:    801,454.7 | Avg:    955,301.3
Gen 121/150 | Best:    801,454.7 | Avg:    954,876.4
Gen 122/150 | Best:    801,454.7 | Avg:    949,575.2
Gen 123/150 | Best:    801,454.7 | Avg:    943,808.8
Gen 124/150 | Best:    800,817.7 | Avg:    942,009.1
Gen 125/150 | Best:    800,817.7 | Avg:    941,733.6
Gen 126/150 | Best:    800,817.7 | Avg:    942,294.9
Gen 127/150 | Best:    800,015.3 | Avg:    942,825.3
Gen 128/150 | Best:    800,015.3 | Avg:    936,101.4
Gen 129/150 | Best:    800,015.3 | Avg:    922,546.7
Gen 130/150 | Best:    800,015.3 | Avg:    919,047.3
Gen 131/150 | Best:    800,015.3 | Avg:    919,242.5
Gen 132/150 | Best:    800,015.3 | Avg:    928,954.2
Gen 133/150 | Best:    800,009.7 | Avg:    942,957.4
Gen 134/150 | Best:    800,009.7 | Avg:    960,192.5
Gen 135/150 | Best:    800,009.7 | Avg:    972,194.8
Gen 136/150 | Best:    800,004.9 | Avg:    980,659.4
Gen 137/150 | Best:    799,882.4 | Avg:    982,600.1
Gen 138/150 | Best:    799,882.4 | Avg:    974,988.7
Gen 139/150 | Best:    799,882.4 | Avg:    940,930.3
Gen 140/150 | Best:    799,882.4 | Avg:    917,221.6
Gen 141/150 | Best:    799,882.4 | Avg:    921,644.8
Gen 142/150 | Best:    799,882.4 | Avg:    929,744.2
Gen 143/150 | Best:    799,882.4 | Avg:    936,273.2
Gen 144/150 | Best:    799,882.4 | Avg:    929,855.8
Gen 145/150 | Best:    799,882.4 | Avg:    929,252.2
Gen 146/150 | Best:    799,882.4 | Avg:    934,609.3
Gen 147/150 | Best:    799,882.4 | Avg:    944,630.7
Gen 148/150 | Best:    799,882.4 | Avg:    955,849.0
Gen 149/150 | Best:    799,882.4 | Avg:    966,462.9
Gen 150/150 | Best:    799,882.4 | Avg:    961,983.7

============================================================
EVOLUTION COMPLETE
============================================================


QWERTY Fitness: 1,821,199.8

QWERTY:
   q  w  e  r  t  y  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   z  x  c  v  b  n  m  ,  .  '

