============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 10000 layouts
Elite size: 5000 (50.0%)
Tournament size: 5
Mutation rate: 0.15

Gen   1/150 | Best:  1,375,854.6 | Avg:  2,361,680.5
Gen   2/150 | Best:  1,318,641.0 | Avg:  2,116,871.1
Gen   3/150 | Best:  1,311,793.7 | Avg:  1,984,165.6
Gen   4/150 | Best:  1,195,741.5 | Avg:  1,891,597.8
Gen   5/150 | Best:  1,129,475.1 | Avg:  1,820,226.5
Gen   6/150 | Best:  1,129,475.1 | Avg:  1,759,905.5
Gen   7/150 | Best:  1,129,475.1 | Avg:  1,707,179.2
Gen   8/150 | Best:  1,129,475.1 | Avg:  1,659,980.4
Gen   9/150 | Best:  1,086,077.9 | Avg:  1,625,761.0
Gen  10/150 | Best:  1,086,077.9 | Avg:  1,597,113.1
Gen  11/150 | Best:  1,086,077.9 | Avg:  1,569,357.5
Gen  12/150 | Best:  1,086,077.9 | Avg:  1,547,636.3
Gen  13/150 | Best:  1,086,077.9 | Avg:  1,525,498.4
Gen  14/150 | Best:  1,072,271.0 | Avg:  1,499,586.9
Gen  15/150 | Best:  1,049,763.3 | Avg:  1,479,603.0
Gen  16/150 | Best:  1,049,763.3 | Avg:  1,460,097.3
Gen  17/150 | Best:  1,049,763.3 | Avg:  1,438,569.0
Gen  18/150 | Best:  1,049,763.3 | Avg:  1,422,539.2
Gen  19/150 | Best:  1,049,763.3 | Avg:  1,408,165.3
Gen  20/150 | Best:  1,024,219.0 | Avg:  1,394,246.0
Gen  21/150 | Best:  1,024,219.0 | Avg:  1,383,372.2
Gen  22/150 | Best:  1,019,218.1 | Avg:  1,366,179.3
Gen  23/150 | Best:  1,010,383.6 | Avg:  1,367,656.9
Gen  24/150 | Best:  1,010,383.6 | Avg:  1,357,620.3
Gen  25/150 | Best:  1,003,984.2 | Avg:  1,348,172.5
Gen  26/150 | Best:    987,876.6 | Avg:  1,342,785.9
Gen  27/150 | Best:    987,876.6 | Avg:  1,335,142.6
Gen  28/150 | Best:    987,876.6 | Avg:  1,325,834.3
Gen  29/150 | Best:    987,876.6 | Avg:  1,309,682.7
Gen  30/150 | Best:    987,876.6 | Avg:  1,308,344.7
Gen  31/150 | Best:    987,876.6 | Avg:  1,298,182.5
Gen  32/150 | Best:    983,086.5 | Avg:  1,284,972.5
Gen  33/150 | Best:    978,581.8 | Avg:  1,281,745.2
Gen  34/150 | Best:    978,581.8 | Avg:  1,269,704.8
Gen  35/150 | Best:    970,240.4 | Avg:  1,257,874.7
Gen  36/150 | Best:    970,240.4 | Avg:  1,241,460.0
Gen  37/150 | Best:    953,056.9 | Avg:  1,236,060.0
Gen  38/150 | Best:    953,056.9 | Avg:  1,220,460.0
Gen  39/150 | Best:    953,056.9 | Avg:  1,208,692.9
Gen  40/150 | Best:    945,997.5 | Avg:  1,198,469.4
Gen  41/150 | Best:    944,394.1 | Avg:  1,188,426.2
Gen  42/150 | Best:    944,394.1 | Avg:  1,172,316.4
Gen  43/150 | Best:    917,283.4 | Avg:  1,164,497.4
Gen  44/150 | Best:    917,283.4 | Avg:  1,162,496.3
Gen  45/150 | Best:    913,948.2 | Avg:  1,152,549.7
Gen  46/150 | Best:    913,948.2 | Avg:  1,135,761.9
Gen  47/150 | Best:    913,948.2 | Avg:  1,126,997.8
Gen  48/150 | Best:    904,523.8 | Avg:  1,110,623.9
Gen  49/150 | Best:    904,523.8 | Avg:  1,099,333.6
Gen  50/150 | Best:    898,606.4 | Avg:  1,094,015.8
Gen  51/150 | Best:    882,767.2 | Avg:  1,079,692.7
Gen  52/150 | Best:    878,776.0 | Avg:  1,064,660.6
Gen  53/150 | Best:    878,776.0 | Avg:  1,055,598.2
Gen  54/150 | Best:    878,776.0 | Avg:  1,051,807.7
Gen  55/150 | Best:    876,716.8 | Avg:  1,046,778.9
Gen  56/150 | Best:    876,716.8 | Avg:  1,039,307.2
Gen  57/150 | Best:    872,315.5 | Avg:  1,034,717.2
Gen  58/150 | Best:    859,053.1 | Avg:  1,028,946.2
Gen  59/150 | Best:    859,053.1 | Avg:  1,020,894.5
Gen  60/150 | Best:    846,611.1 | Avg:  1,006,513.7
Gen  61/150 | Best:    846,611.1 | Avg:    979,838.9
Gen  62/150 | Best:    846,611.1 | Avg:    952,134.2
Gen  63/150 | Best:    846,611.1 | Avg:    925,425.2
Gen  64/150 | Best:    846,611.1 | Avg:    914,347.7
Gen  65/150 | Best:    846,611.1 | Avg:    910,238.2
Gen  66/150 | Best:    846,611.1 | Avg:    907,624.2
Gen  67/150 | Best:    842,312.8 | Avg:    904,134.0
Gen  68/150 | Best:    842,312.8 | Avg:    906,171.0
Gen  69/150 | Best:    837,255.4 | Avg:    902,384.1
Gen  70/150 | Best:    823,452.7 | Avg:    893,609.7
Gen  71/150 | Best:    823,452.7 | Avg:    892,667.9
Gen  72/150 | Best:    823,350.1 | Avg:    899,851.7
Gen  73/150 | Best:    822,021.5 | Avg:    899,604.4
Gen  74/150 | Best:    821,918.8 | Avg:    891,310.9
Gen  75/150 | Best:    821,918.8 | Avg:    874,555.8
Gen  76/150 | Best:    818,364.6 | Avg:    858,129.4
Gen  77/150 | Best:    813,640.9 | Avg:    850,324.6
Gen  78/150 | Best:    792,134.8 | Avg:    847,532.7
Gen  79/150 | Best:    792,134.8 | Avg:    840,310.1
Gen  80/150 | Best:    792,134.8 | Avg:    835,978.5
Gen  81/150 | Best:    791,589.5 | Avg:    835,159.5
Gen  82/150 | Best:    783,455.7 | Avg:    838,387.9
Gen  83/150 | Best:    783,455.7 | Avg:    847,655.8
Gen  84/150 | Best:    783,455.7 | Avg:    854,576.6
Gen  85/150 | Best:    783,455.7 | Avg:    860,842.4
Gen  86/150 | Best:    783,455.7 | Avg:    860,256.7
Gen  87/150 | Best:    783,455.7 | Avg:    864,684.9
Gen  88/150 | Best:    780,869.2 | Avg:    867,623.6
Gen  89/150 | Best:    780,869.2 | Avg:    853,402.2
Gen  90/150 | Best:    777,322.4 | Avg:    838,103.1
Gen  91/150 | Best:    777,322.4 | Avg:    814,229.1
Gen  92/150 | Best:    777,322.4 | Avg:    795,928.2
Gen  93/150 | Best:    776,346.4 | Avg:    795,854.5
Gen  94/150 | Best:    775,633.6 | Avg:    799,591.8
Gen  95/150 | Best:    774,730.8 | Avg:    802,873.9
Gen  96/150 | Best:    773,766.3 | Avg:    807,990.1
Gen  97/150 | Best:    773,766.3 | Avg:    807,913.2
Gen  98/150 | Best:    773,766.3 | Avg:    807,034.2
Gen  99/150 | Best:    773,766.3 | Avg:    813,833.4
Gen 100/150 | Best:    773,766.3 | Avg:    812,824.2
Gen 101/150 | Best:    773,766.3 | Avg:    804,178.0
Gen 102/150 | Best:    773,766.3 | Avg:    804,904.3
Gen 103/150 | Best:    773,766.3 | Avg:    807,117.8
Gen 104/150 | Best:    773,766.3 | Avg:    806,579.6
Gen 105/150 | Best:    773,766.3 | Avg:    802,431.3
Gen 106/150 | Best:    773,167.5 | Avg:    796,848.0
Gen 107/150 | Best:    773,167.5 | Avg:    785,600.6
Gen 108/150 | Best:    773,167.5 | Avg:    784,352.1
Gen 109/150 | Best:    773,167.5 | Avg:    784,863.1
Gen 110/150 | Best:    773,167.5 | Avg:    785,471.0
Gen 111/150 | Best:    773,167.5 | Avg:    789,519.5
Gen 112/150 | Best:    773,167.5 | Avg:    793,774.6
Gen 113/150 | Best:    773,167.5 | Avg:    801,728.2
Gen 114/150 | Best:    771,838.7 | Avg:    808,886.9
Gen 115/150 | Best:    771,838.7 | Avg:    805,204.2
Gen 116/150 | Best:    771,838.7 | Avg:    787,261.1
Gen 117/150 | Best:    771,838.7 | Avg:    784,220.7
Gen 118/150 | Best:    771,838.7 | Avg:    784,778.9
Gen 119/150 | Best:    771,838.7 | Avg:    785,669.8
Gen 120/150 | Best:    771,838.7 | Avg:    788,004.4
Gen 121/150 | Best:    771,838.7 | Avg:    790,157.3
Gen 122/150 | Best:    766,634.4 | Avg:    797,850.2
Gen 123/150 | Best:    766,634.4 | Avg:    803,779.8
Gen 124/150 | Best:    766,634.4 | Avg:    818,128.4
Gen 125/150 | Best:    766,634.4 | Avg:    815,928.9
Gen 126/150 | Best:    766,634.4 | Avg:    804,959.6
Gen 127/150 | Best:    766,634.4 | Avg:    788,296.9
Gen 128/150 | Best:    764,395.7 | Avg:    788,146.1
Gen 129/150 | Best:    764,395.7 | Avg:    796,212.3
Gen 130/150 | Best:    764,395.7 | Avg:    801,029.0
Gen 131/150 | Best:    764,395.7 | Avg:    800,598.0
Gen 132/150 | Best:    762,870.5 | Avg:    794,965.4
Gen 133/150 | Best:    762,870.5 | Avg:    788,500.3
Gen 134/150 | Best:    762,870.5 | Avg:    791,381.8
Gen 135/150 | Best:    762,870.5 | Avg:    798,217.1
Gen 136/150 | Best:    762,870.5 | Avg:    798,953.2
Gen 137/150 | Best:    762,870.5 | Avg:    796,709.8
Gen 138/150 | Best:    762,870.5 | Avg:    786,772.4
Gen 139/150 | Best:    762,870.5 | Avg:    774,057.9
Gen 140/150 | Best:    762,870.5 | Avg:    772,605.1
Gen 141/150 | Best:    762,870.5 | Avg:    773,905.2
Gen 142/150 | Best:    762,870.5 | Avg:    774,093.2
Gen 143/150 | Best:    762,870.5 | Avg:    772,406.6
Gen 144/150 | Best:    762,870.5 | Avg:    773,581.7
Gen 145/150 | Best:    762,870.5 | Avg:    773,214.1
Gen 146/150 | Best:    762,870.5 | Avg:    773,210.3
Gen 147/150 | Best:    762,870.5 | Avg:    773,010.7
Gen 148/150 | Best:    762,870.5 | Avg:    772,377.0
Gen 149/150 | Best:    762,870.5 | Avg:    773,465.5
Gen 150/150 | Best:    762,870.5 | Avg:    773,592.9

============================================================
EVOLUTION COMPLETE
============================================================


QWERTY Fitness: 1,821,199.8

QWERTY:
   q  w  e  r  t  y  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   z  x  c  v  b  n  m  ,  .  '

DVORAK Fitness: 1,433,882.9

DVORAK:
   '  ,  .  p  y  f  g  c  r  l
   a  o  e  u  i  d  h  t  n  s
   ;  q  j  k  x  b  m  w  v  z

QWERTZ Fitness: 1,877,982.0

QWERTZ:
   q  w  e  r  t  z  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   y  x  c  v  b  n  m  ,  .  '

COLEMAK Fitness: 1,368,940.0

COLEMAK:
   q  w  f  p  g  j  l  u  y  ;
   a  r  s  t  d  h  n  e  i  o
   z  x  c  v  b  k  m  ,  .  '


Best Evolved Fitness: 762,870.5
Improvement vs QWERTY: 58.11%
Improvement vs DVORAK: 46.80%
Improvement vs QWERTZ: 59.38%
Improvement vs COLEMAK: 44.27%

Layout representation:
['z', 'w', 'c', 'd', 'n', 'i', 'h', 'g', 'k', ';', 'v', 'm', 'r', 's', 't', 'o', 'a', 'e', ',', '.', 'j', 'q', 'b', 'f', 'l', 'u', 'p', 'y', 'x', "'"]

OPTIMIZED LAYOUT:
   z  w  c  d  n  i  h  g  k  ;
   v  m  r  s  t  o  a  e  ,  .
   j  q  b  f  l  u  p  y  x  '

============================================================
DATOS PARA LATEX
============================================================

% Generación y Best Fitness
% coordinates {(gen, fitness)}

(1, 1375854.6)
(2, 1318641.0)
(3, 1311793.7)
(4, 1195741.5)
(5, 1129475.1)
(6, 1129475.1)
(7, 1129475.1)
(8, 1129475.1)
(9, 1086077.9)
(10, 1086077.9)
(11, 1086077.9)
(12, 1086077.9)
(13, 1086077.9)
(14, 1072271.0)
(15, 1049763.3)
(16, 1049763.3)
(17, 1049763.3)
(18, 1049763.3)
(19, 1049763.3)
(20, 1024219.0)
(21, 1024219.0)
(22, 1019218.1)
(23, 1010383.6)
(24, 1010383.6)
(25, 1003984.2)
(26, 987876.6)
(27, 987876.6)
(28, 987876.6)
(29, 987876.6)
(30, 987876.6)
(31, 987876.6)
(32, 983086.5)
(33, 978581.8)
(34, 978581.8)
(35, 970240.4)
(36, 970240.4)
(37, 953056.9)
(38, 953056.9)
(39, 953056.9)
(40, 945997.5)
(41, 944394.1)
(42, 944394.1)
(43, 917283.4)
(44, 917283.4)
(45, 913948.2)
(46, 913948.2)
(47, 913948.2)
(48, 904523.8)
(49, 904523.8)
(50, 898606.4)
(51, 882767.2)
(52, 878776.0)
(53, 878776.0)
(54, 878776.0)
(55, 876716.8)
(56, 876716.8)
(57, 872315.5)
(58, 859053.1)
(59, 859053.1)
(60, 846611.1)
(61, 846611.1)
(62, 846611.1)
(63, 846611.1)
(64, 846611.1)
(65, 846611.1)
(66, 846611.1)
(67, 842312.8)
(68, 842312.8)
(69, 837255.4)
(70, 823452.7)
(71, 823452.7)
(72, 823350.1)
(73, 822021.5)
(74, 821918.8)
(75, 821918.8)
(76, 818364.6)
(77, 813640.9)
(78, 792134.8)
(79, 792134.8)
(80, 792134.8)
(81, 791589.5)
(82, 783455.7)
(83, 783455.7)
(84, 783455.7)
(85, 783455.7)
(86, 783455.7)
(87, 783455.7)
(88, 780869.2)
(89, 780869.2)
(90, 777322.4)
(91, 777322.4)
(92, 777322.4)
(93, 776346.4)
(94, 775633.6)
(95, 774730.8)
(96, 773766.3)
(97, 773766.3)
(98, 773766.3)
(99, 773766.3)
(100, 773766.3)
(101, 773766.3)
(102, 773766.3)
(103, 773766.3)
(104, 773766.3)
(105, 773766.3)
(106, 773167.5)
(107, 773167.5)
(108, 773167.5)
(109, 773167.5)
(110, 773167.5)
(111, 773167.5)
(112, 773167.5)
(113, 773167.5)
(114, 771838.7)
(115, 771838.7)
(116, 771838.7)
(117, 771838.7)
(118, 771838.7)
(119, 771838.7)
(120, 771838.7)
(121, 771838.7)
(122, 766634.4)
(123, 766634.4)
(124, 766634.4)
(125, 766634.4)
(126, 766634.4)
(127, 766634.4)
(128, 764395.7)
(129, 764395.7)
(130, 764395.7)
(131, 764395.7)
(132, 762870.5)
(133, 762870.5)
(134, 762870.5)
(135, 762870.5)
(136, 762870.5)
(137, 762870.5)
(138, 762870.5)
(139, 762870.5)
(140, 762870.5)
(141, 762870.5)
(142, 762870.5)
(143, 762870.5)
(144, 762870.5)
(145, 762870.5)
(146, 762870.5)
(147, 762870.5)
(148, 762870.5)
(149, 762870.5)
(150, 762870.5)

============================================================

Time consumed: 586.59s (00h09m46s)
