============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 10000 layouts
Elite size: 1000 (10.0%)
Tournament size: 5
Mutation rate: 0.15

Gen   1/150 | Best:  1,375,854.6 | Avg:  2,361,680.5
Gen   2/150 | Best:  1,318,641.0 | Avg:  2,104,382.0
Gen   3/150 | Best:  1,238,259.7 | Avg:  1,965,814.2
Gen   4/150 | Best:  1,097,151.6 | Avg:  1,882,361.2
Gen   5/150 | Best:  1,080,444.2 | Avg:  1,810,394.4
Gen   6/150 | Best:  1,080,444.2 | Avg:  1,764,733.7
Gen   7/150 | Best:  1,080,444.2 | Avg:  1,732,809.0
Gen   8/150 | Best:  1,080,444.2 | Avg:  1,705,195.8
Gen   9/150 | Best:  1,077,912.6 | Avg:  1,675,740.4
Gen  10/150 | Best:  1,077,912.6 | Avg:  1,650,528.1
Gen  11/150 | Best:  1,061,566.7 | Avg:  1,619,063.0
Gen  12/150 | Best:  1,033,018.5 | Avg:  1,603,501.0
Gen  13/150 | Best:  1,019,018.7 | Avg:  1,586,830.0
Gen  14/150 | Best:  1,011,587.0 | Avg:  1,570,930.1
Gen  15/150 | Best:  1,011,587.0 | Avg:  1,556,643.7
Gen  16/150 | Best:  1,011,587.0 | Avg:  1,547,070.0
Gen  17/150 | Best:    991,379.1 | Avg:  1,519,477.9
Gen  18/150 | Best:    991,379.1 | Avg:  1,504,203.8
Gen  19/150 | Best:    969,232.1 | Avg:  1,482,361.4
Gen  20/150 | Best:    943,732.5 | Avg:  1,452,442.0
Gen  21/150 | Best:    920,073.9 | Avg:  1,412,272.7
Gen  22/150 | Best:    920,073.9 | Avg:  1,356,789.3
Gen  23/150 | Best:    918,720.5 | Avg:  1,290,751.5
Gen  24/150 | Best:    918,720.5 | Avg:  1,214,692.9
Gen  25/150 | Best:    888,702.9 | Avg:  1,161,249.0
Gen  26/150 | Best:    888,702.9 | Avg:  1,099,216.4
Gen  27/150 | Best:    886,425.2 | Avg:  1,045,996.4
Gen  28/150 | Best:    872,747.7 | Avg:    994,602.8
Gen  29/150 | Best:    872,747.7 | Avg:    967,906.1
