============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 100000 layouts
Elite size: 20000 (20.0%)
Tournament size: 5
Mutation rate: 0.15

Gen   1/150 | Best:  1,265,602.1 | Avg:  2,359,067.8
Gen   2/150 | Best:  1,198,083.0 | Avg:  2,086,621.1
Gen   3/150 | Best:  1,187,627.1 | Avg:  1,952,738.3
Gen   4/150 | Best:  1,153,912.9 | Avg:  1,867,182.7
Gen   5/150 | Best:  1,153,912.9 | Avg:  1,802,403.5
Gen   6/150 | Best:  1,080,497.0 | Avg:  1,750,346.7
Gen   7/150 | Best:  1,080,497.0 | Avg:  1,708,271.1
Gen   8/150 | Best:  1,080,497.0 | Avg:  1,675,197.7
Gen   9/150 | Best:  1,045,635.3 | Avg:  1,646,819.8
Gen  10/150 | Best:  1,044,655.1 | Avg:  1,619,703.6
Gen  11/150 | Best:  1,039,342.2 | Avg:  1,594,856.5
Gen  12/150 | Best:  1,025,067.6 | Avg:  1,577,899.7
Gen  13/150 | Best:    981,410.7 | Avg:  1,564,534.1
Gen  14/150 | Best:    981,410.7 | Avg:  1,549,540.2
Gen  15/150 | Best:    974,239.3 | Avg:  1,535,043.7
Gen  16/150 | Best:    971,816.0 | Avg:  1,525,082.7
Gen  17/150 | Best:    971,816.0 | Avg:  1,510,837.7
Gen  18/150 | Best:    946,209.2 | Avg:  1,502,324.2
Gen  19/150 | Best:    946,209.2 | Avg:  1,496,526.5
Gen  20/150 | Best:    946,209.2 | Avg:  1,488,902.5
Gen  21/150 | Best:    946,209.2 | Avg:  1,482,364.1
Gen  22/150 | Best:    932,706.4 | Avg:  1,473,548.7
Gen  23/150 | Best:    932,706.4 | Avg:  1,469,993.9
Gen  24/150 | Best:    932,706.4 | Avg:  1,462,833.4
Gen  25/150 | Best:    932,706.4 | Avg:  1,458,663.7
Gen  26/150 | Best:    932,706.4 | Avg:  1,456,726.0
Gen  27/150 | Best:    932,706.4 | Avg:  1,450,941.9
Gen  28/150 | Best:    932,706.4 | Avg:  1,446,761.6
Gen  29/150 | Best:    932,706.4 | Avg:  1,441,333.1
Gen  30/150 | Best:    932,706.4 | Avg:  1,435,408.7
Gen  31/150 | Best:    929,891.5 | Avg:  1,432,479.2
Gen  32/150 | Best:    919,161.6 | Avg:  1,426,877.6
Gen  33/150 | Best:    919,161.6 | Avg:  1,419,899.1
Gen  34/150 | Best:    919,161.6 | Avg:  1,411,190.2
Gen  35/150 | Best:    918,709.2 | Avg:  1,398,041.3
Gen  36/150 | Best:    901,155.9 | Avg:  1,380,430.9
Gen  37/150 | Best:    901,155.9 | Avg:  1,350,972.5
Gen  38/150 | Best:    901,155.9 | Avg:  1,291,224.0
Gen  39/150 | Best:    895,676.9 | Avg:  1,193,805.4
Gen  40/150 | Best:    891,282.4 | Avg:  1,084,718.2
Gen  41/150 | Best:    874,125.6 | Avg:  1,008,029.9
Gen  42/150 | Best:    847,577.7 | Avg:    968,081.4
Gen  43/150 | Best:    847,577.7 | Avg:    953,803.9
Gen  44/150 | Best:    847,577.7 | Avg:    943,141.7
Gen  45/150 | Best:    842,967.0 | Avg:    936,239.4
Gen  46/150 | Best:    832,659.5 | Avg:    928,316.7
Gen  47/150 | Best:    830,596.6 | Avg:    918,513.9
Gen  48/150 | Best:    826,183.2 | Avg:    906,281.6
Gen  49/150 | Best:    818,631.4 | Avg:    899,967.7
Gen  50/150 | Best:    815,506.7 | Avg:    893,390.2
Gen  51/150 | Best:    802,638.7 | Avg:    887,818.9
Gen  52/150 | Best:    802,638.7 | Avg:    889,278.6
Gen  53/150 | Best:    802,638.7 | Avg:    892,528.2
Gen  54/150 | Best:    794,390.6 | Avg:    894,088.3
Gen  55/150 | Best:    794,390.6 | Avg:    877,462.7
Gen  56/150 | Best:    792,135.9 | Avg:    856,114.8
Gen  57/150 | Best:    792,135.9 | Avg:    848,058.7
Gen  58/150 | Best:    788,955.3 | Avg:    845,532.9
Gen  59/150 | Best:    783,034.3 | Avg:    843,627.6
Gen  60/150 | Best:    783,034.3 | Avg:    831,460.1
Gen  61/150 | Best:    783,034.3 | Avg:    821,338.6
Gen  62/150 | Best:    783,034.3 | Avg:    821,906.5
Gen  63/150 | Best:    782,297.8 | Avg:    827,739.9
Gen  64/150 | Best:    781,563.5 | Avg:    834,611.5
Gen  65/150 | Best:    781,286.1 | Avg:    845,622.2
Gen  66/150 | Best:    778,275.8 | Avg:    856,208.0
Gen  67/150 | Best:    778,275.8 | Avg:    855,289.8
Gen  68/150 | Best:    778,211.7 | Avg:    846,810.4
Gen  69/150 | Best:    778,211.7 | Avg:    843,570.9
Gen  70/150 | Best:    775,559.0 | Avg:    850,015.5
Gen  71/150 | Best:    773,641.0 | Avg:    845,443.9
Gen  72/150 | Best:    773,532.6 | Avg:    842,718.3
Gen  73/150 | Best:    773,532.6 | Avg:    856,779.6
Gen  74/150 | Best:    770,027.2 | Avg:    859,541.7
Gen  75/150 | Best:    768,854.5 | Avg:    858,563.1
Gen  76/150 | Best:    768,854.5 | Avg:    861,981.1
Gen  77/150 | Best:    768,854.5 | Avg:    870,360.3
Gen  78/150 | Best:    768,854.5 | Avg:    872,971.3
Gen  79/150 | Best:    768,854.5 | Avg:    861,962.2
Gen  80/150 | Best:    768,854.5 | Avg:    836,123.3
Gen  81/150 | Best:    767,181.2 | Avg:    823,929.5
Gen  82/150 | Best:    765,886.5 | Avg:    829,795.5
Gen  83/150 | Best:    765,886.5 | Avg:    843,634.3
Gen  84/150 | Best:    765,886.5 | Avg:    830,397.0
Gen  85/150 | Best:    765,886.5 | Avg:    789,865.7
Gen  86/150 | Best:    765,886.5 | Avg:    791,025.9
Gen  87/150 | Best:    765,886.5 | Avg:    801,822.4
Gen  88/150 | Best:    765,886.5 | Avg:    822,517.6
Gen  89/150 | Best:    765,886.5 | Avg:    837,471.8
Gen  90/150 | Best:    765,886.5 | Avg:    826,153.7
Gen  91/150 | Best:    765,886.5 | Avg:    790,580.1
Gen  92/150 | Best:    765,886.5 | Avg:    782,780.7
Gen  93/150 | Best:    765,886.5 | Avg:    782,566.8
Gen  94/150 | Best:    765,886.5 | Avg:    782,586.2
Gen  95/150 | Best:    765,886.5 | Avg:    782,471.5
Gen  96/150 | Best:    765,886.5 | Avg:    782,619.0
Gen  97/150 | Best:    765,886.5 | Avg:    782,553.0
Gen  98/150 | Best:    765,886.5 | Avg:    782,610.7
Gen  99/150 | Best:    765,886.5 | Avg:    782,746.0
Gen 100/150 | Best:    765,886.5 | Avg:    782,325.6
Gen 101/150 | Best:    765,886.5 | Avg:    782,546.2
Gen 102/150 | Best:    765,886.5 | Avg:    782,550.2
Gen 103/150 | Best:    765,886.5 | Avg:    782,419.4
Gen 104/150 | Best:    765,886.5 | Avg:    782,741.9
Gen 105/150 | Best:    765,886.5 | Avg:    782,519.6
Gen 106/150 | Best:    765,886.5 | Avg:    782,765.6
Gen 107/150 | Best:    765,886.5 | Avg:    782,441.7
Gen 108/150 | Best:    765,886.5 | Avg:    782,476.7
Gen 109/150 | Best:    765,886.5 | Avg:    782,275.9
Gen 110/150 | Best:    765,886.5 | Avg:    782,624.5
Gen 111/150 | Best:    765,886.5 | Avg:    783,010.4
Gen 112/150 | Best:    765,886.5 | Avg:    782,899.1
Gen 113/150 | Best:    765,886.5 | Avg:    782,396.5
Gen 114/150 | Best:    765,886.5 | Avg:    782,222.2
Gen 115/150 | Best:    765,886.5 | Avg:    783,015.3
Gen 116/150 | Best:    765,886.5 | Avg:    782,584.8
Gen 117/150 | Best:    765,886.5 | Avg:    782,712.2
Gen 118/150 | Best:    765,886.5 | Avg:    782,435.5
Gen 119/150 | Best:    765,886.5 | Avg:    782,717.2
Gen 120/150 | Best:    765,886.5 | Avg:    782,769.1
Gen 121/150 | Best:    765,886.5 | Avg:    782,756.0
Gen 122/150 | Best:    765,886.5 | Avg:    783,031.7
Gen 123/150 | Best:    765,886.5 | Avg:    782,743.2
Gen 124/150 | Best:    765,886.5 | Avg:    782,858.4
Gen 125/150 | Best:    765,886.5 | Avg:    782,699.2
Gen 126/150 | Best:    765,886.5 | Avg:    782,766.4
Gen 127/150 | Best:    765,886.5 | Avg:    782,396.7
Gen 128/150 | Best:    765,886.5 | Avg:    782,731.3
Gen 129/150 | Best:    765,886.5 | Avg:    782,845.6
Gen 130/150 | Best:    765,886.5 | Avg:    782,518.4
Gen 131/150 | Best:    765,886.5 | Avg:    782,750.1
Gen 132/150 | Best:    765,886.5 | Avg:    782,360.5
Gen 133/150 | Best:    765,886.5 | Avg:    782,349.6
Gen 134/150 | Best:    765,886.5 | Avg:    782,930.6
Gen 135/150 | Best:    765,886.5 | Avg:    782,750.7
Gen 136/150 | Best:    765,886.5 | Avg:    782,924.6
Gen 137/150 | Best:    765,886.5 | Avg:    782,870.7
Gen 138/150 | Best:    765,886.5 | Avg:    782,749.7
Gen 139/150 | Best:    765,886.5 | Avg:    782,628.8
Gen 140/150 | Best:    765,886.5 | Avg:    782,320.2
Gen 141/150 | Best:    765,886.5 | Avg:    782,579.0
Gen 142/150 | Best:    765,886.5 | Avg:    782,656.1
Gen 143/150 | Best:    765,886.5 | Avg:    782,626.1
Gen 144/150 | Best:    765,886.5 | Avg:    782,800.8
Gen 145/150 | Best:    765,886.5 | Avg:    782,872.0
Gen 146/150 | Best:    765,886.5 | Avg:    782,288.0
Gen 147/150 | Best:    765,886.5 | Avg:    782,627.7
Gen 148/150 | Best:    765,886.5 | Avg:    782,599.0
Gen 149/150 | Best:    765,886.5 | Avg:    782,311.1
Gen 150/150 | Best:    765,886.5 | Avg:    782,561.0

============================================================
EVOLUTION COMPLETE
============================================================


QWERTY Fitness: 1,821,199.8

QWERTY:
   q  w  e  r  t  y  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   z  x  c  v  b  n  m  ,  .  '

DVORAK Fitness: 1,433,882.9

DVORAK:
   '  ,  .  p  y  f  g  c  r  l
   a  o  e  u  i  d  h  t  n  s
   ;  q  j  k  x  b  m  w  v  z

QWERTZ Fitness: 1,877,982.0

QWERTZ:
   q  w  e  r  t  z  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   y  x  c  v  b  n  m  ,  .  '

COLEMAK Fitness: 1,368,940.0

COLEMAK:
   q  w  f  p  g  j  l  u  y  ;
   a  r  s  t  d  h  n  e  i  o
   z  x  c  v  b  k  m  ,  .  '


Best Evolved Fitness: 765,886.5
Improvement vs QWERTY: 57.95%
Improvement vs DVORAK: 46.59%
Improvement vs QWERTZ: 59.22%
Improvement vs COLEMAK: 44.05%

Layout representation:
["'", 'z', 'w', 't', 'i', 'h', 'c', 'f', 'k', 'x', '.', ',', 'o', 'a', 'e', 'n', 's', 'r', 'm', 'v', 'j', ';', 'y', 'u', 'g', 'd', 'l', 'p', 'b', 'q']

OPTIMIZED LAYOUT:
   '  z  w  t  i  h  c  f  k  x
   .  ,  o  a  e  n  s  r  m  v
   j  ;  y  u  g  d  l  p  b  q

============================================================
DATOS PARA LATEX
============================================================

% Generación y Best Fitness
% coordinates {(gen, fitness)}

(1, 1265602.1)
(2, 1198083.0)
(3, 1187627.1)
(4, 1153912.9)
(5, 1153912.9)
(6, 1080497.0)
(7, 1080497.0)
(8, 1080497.0)
(9, 1045635.3)
(10, 1044655.1)
(11, 1039342.2)
(12, 1025067.6)
(13, 981410.7)
(14, 981410.7)
(15, 974239.3)
(16, 971816.0)
(17, 971816.0)
(18, 946209.2)
(19, 946209.2)
(20, 946209.2)
(21, 946209.2)
(22, 932706.4)
(23, 932706.4)
(24, 932706.4)
(25, 932706.4)
(26, 932706.4)
(27, 932706.4)
(28, 932706.4)
(29, 932706.4)
(30, 932706.4)
(31, 929891.5)
(32, 919161.6)
(33, 919161.6)
(34, 919161.6)
(35, 918709.2)
(36, 901155.9)
(37, 901155.9)
(38, 901155.9)
(39, 895676.9)
(40, 891282.4)
(41, 874125.6)
(42, 847577.7)
(43, 847577.7)
(44, 847577.7)
(45, 842967.0)
(46, 832659.5)
(47, 830596.6)
(48, 826183.2)
(49, 818631.4)
(50, 815506.7)
(51, 802638.7)
(52, 802638.7)
(53, 802638.7)
(54, 794390.6)
(55, 794390.6)
(56, 792135.9)
(57, 792135.9)
(58, 788955.3)
(59, 783034.3)
(60, 783034.3)
(61, 783034.3)
(62, 783034.3)
(63, 782297.8)
(64, 781563.5)
(65, 781286.1)
(66, 778275.8)
(67, 778275.8)
(68, 778211.7)
(69, 778211.7)
(70, 775559.0)
(71, 773641.0)
(72, 773532.6)
(73, 773532.6)
(74, 770027.2)
(75, 768854.5)
(76, 768854.5)
(77, 768854.5)
(78, 768854.5)
(79, 768854.5)
(80, 768854.5)
(81, 767181.2)
(82, 765886.5)
(83, 765886.5)
(84, 765886.5)
(85, 765886.5)
(86, 765886.5)
(87, 765886.5)
(88, 765886.5)
(89, 765886.5)
(90, 765886.5)
(91, 765886.5)
(92, 765886.5)
(93, 765886.5)
(94, 765886.5)
(95, 765886.5)
(96, 765886.5)
(97, 765886.5)
(98, 765886.5)
(99, 765886.5)
(100, 765886.5)
(101, 765886.5)
(102, 765886.5)
(103, 765886.5)
(104, 765886.5)
(105, 765886.5)
(106, 765886.5)
(107, 765886.5)
(108, 765886.5)
(109, 765886.5)
(110, 765886.5)
(111, 765886.5)
(112, 765886.5)
(113, 765886.5)
(114, 765886.5)
(115, 765886.5)
(116, 765886.5)
(117, 765886.5)
(118, 765886.5)
(119, 765886.5)
(120, 765886.5)
(121, 765886.5)
(122, 765886.5)
(123, 765886.5)
(124, 765886.5)
(125, 765886.5)
(126, 765886.5)
(127, 765886.5)
(128, 765886.5)
(129, 765886.5)
(130, 765886.5)
(131, 765886.5)
(132, 765886.5)
(133, 765886.5)
(134, 765886.5)
(135, 765886.5)
(136, 765886.5)
(137, 765886.5)
(138, 765886.5)
(139, 765886.5)
(140, 765886.5)
(141, 765886.5)
(142, 765886.5)
(143, 765886.5)
(144, 765886.5)
(145, 765886.5)
(146, 765886.5)
(147, 765886.5)
(148, 765886.5)
(149, 765886.5)
(150, 765886.5)

============================================================

Time consumed: 5808.05s (01h36m48s)
