============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 10000 layouts
Elite size: 1500 (15.0%)
Tournament size: 5
Mutation rate: 0.5

Gen   1/150 | Best:  1,375,854.6 | Avg:  2,361,680.5
Gen   2/150 | Best:  1,341,306.4 | Avg:  2,104,026.6
Gen   3/150 | Best:  1,271,493.2 | Avg:  1,968,538.1
Gen   4/150 | Best:  1,252,778.8 | Avg:  1,885,200.2
Gen   5/150 | Best:  1,205,777.5 | Avg:  1,823,474.9
Gen   6/150 | Best:  1,177,482.4 | Avg:  1,771,963.3
Gen   7/150 | Best:  1,172,517.2 | Avg:  1,739,218.7
Gen   8/150 | Best:  1,128,409.5 | Avg:  1,713,968.8
Gen   9/150 | Best:  1,128,409.5 | Avg:  1,692,390.2
Gen  10/150 | Best:  1,119,507.1 | Avg:  1,673,754.1
Gen  11/150 | Best:  1,104,802.5 | Avg:  1,648,571.5
Gen  12/150 | Best:  1,053,121.6 | Avg:  1,629,622.8
Gen  13/150 | Best:  1,053,121.6 | Avg:  1,610,611.9
Gen  14/150 | Best:  1,053,121.6 | Avg:  1,601,792.6
Gen  15/150 | Best:  1,025,376.3 | Avg:  1,592,342.0
Gen  16/150 | Best:  1,025,376.3 | Avg:  1,577,270.6
Gen  17/150 | Best:  1,019,542.7 | Avg:  1,571,091.3
Gen  18/150 | Best:  1,019,542.7 | Avg:  1,556,260.4
Gen  19/150 | Best:  1,017,352.2 | Avg:  1,556,368.5
Gen  20/150 | Best:  1,017,352.2 | Avg:  1,550,633.7
Gen  21/150 | Best:  1,017,352.2 | Avg:  1,536,637.4
Gen  22/150 | Best:  1,005,606.5 | Avg:  1,529,325.1
Gen  23/150 | Best:    996,117.2 | Avg:  1,524,073.7
Gen  24/150 | Best:    996,117.2 | Avg:  1,517,820.3
Gen  25/150 | Best:    996,117.2 | Avg:  1,507,966.3
Gen  26/150 | Best:    993,713.6 | Avg:  1,506,493.6
Gen  27/150 | Best:    976,407.4 | Avg:  1,504,274.9
Gen  28/150 | Best:    967,079.0 | Avg:  1,497,801.8
Gen  29/150 | Best:    967,079.0 | Avg:  1,486,234.6
Gen  30/150 | Best:    955,574.8 | Avg:  1,495,028.6
Gen  31/150 | Best:    941,334.9 | Avg:  1,483,044.5
Gen  32/150 | Best:    941,334.9 | Avg:  1,477,309.9
Gen  33/150 | Best:    941,334.9 | Avg:  1,463,863.0
Gen  34/150 | Best:    941,334.9 | Avg:  1,465,223.2
Gen  35/150 | Best:    916,842.4 | Avg:  1,456,428.6
Gen  36/150 | Best:    916,842.4 | Avg:  1,442,789.6
Gen  37/150 | Best:    916,092.0 | Avg:  1,425,320.5
Gen  38/150 | Best:    911,292.7 | Avg:  1,418,726.7
Gen  39/150 | Best:    911,292.7 | Avg:  1,402,544.5
Gen  40/150 | Best:    886,100.4 | Avg:  1,376,588.1
Gen  41/150 | Best:    880,204.1 | Avg:  1,349,137.6
Gen  42/150 | Best:    880,204.1 | Avg:  1,304,886.3
Gen  43/150 | Best:    874,742.0 | Avg:  1,252,026.4
Gen  44/150 | Best:    868,690.7 | Avg:  1,214,708.4
Gen  45/150 | Best:    868,690.7 | Avg:  1,182,090.1
Gen  46/150 | Best:    856,930.6 | Avg:  1,163,809.5
Gen  47/150 | Best:    856,930.6 | Avg:  1,150,343.2
Gen  48/150 | Best:    849,357.6 | Avg:  1,140,504.0
Gen  49/150 | Best:    849,357.6 | Avg:  1,129,493.9
Gen  50/150 | Best:    837,887.2 | Avg:  1,112,981.5
Gen  51/150 | Best:    837,887.2 | Avg:  1,101,593.8
Gen  52/150 | Best:    825,669.8 | Avg:  1,079,719.5
Gen  53/150 | Best:    825,669.8 | Avg:  1,061,525.0
Gen  54/150 | Best:    812,349.9 | Avg:  1,031,589.5
Gen  55/150 | Best:    805,347.9 | Avg:  1,013,113.9
Gen  56/150 | Best:    799,924.0 | Avg:    998,280.6
Gen  57/150 | Best:    785,034.9 | Avg:    985,810.4
Gen  58/150 | Best:    785,034.9 | Avg:    973,590.2
Gen  59/150 | Best:    785,034.9 | Avg:    950,584.0
Gen  60/150 | Best:    782,543.4 | Avg:    927,957.8
Gen  61/150 | Best:    782,543.4 | Avg:    905,573.7
Gen  62/150 | Best:    782,543.4 | Avg:    889,087.1
Gen  63/150 | Best:    780,935.0 | Avg:    877,020.7
Gen  64/150 | Best:    779,294.8 | Avg:    871,748.0
Gen  65/150 | Best:    778,560.0 | Avg:    864,213.5
Gen  66/150 | Best:    777,729.5 | Avg:    862,004.8
Gen  67/150 | Best:    774,364.5 | Avg:    858,998.3
Gen  68/150 | Best:    774,364.5 | Avg:    867,078.6
Gen  69/150 | Best:    774,364.5 | Avg:    877,367.2
Gen  70/150 | Best:    773,217.5 | Avg:    881,269.3
Gen  71/150 | Best:    773,217.5 | Avg:    881,384.7
Gen  72/150 | Best:    771,910.7 | Avg:    877,455.3
Gen  73/150 | Best:    771,772.4 | Avg:    873,658.9
Gen  74/150 | Best:    771,772.4 | Avg:    873,844.6
Gen  75/150 | Best:    770,627.0 | Avg:    863,961.7
Gen  76/150 | Best:    770,012.5 | Avg:    854,544.5
Gen  77/150 | Best:    769,330.3 | Avg:    852,356.2
Gen  78/150 | Best:    769,330.3 | Avg:    848,133.1
Gen  79/150 | Best:    769,330.3 | Avg:    854,154.0
Gen  80/150 | Best:    769,178.8 | Avg:    860,510.0
Gen  81/150 | Best:    768,965.0 | Avg:    873,195.5
Gen  82/150 | Best:    768,965.0 | Avg:    867,258.7
Gen  83/150 | Best:    768,965.0 | Avg:    843,529.6
Gen  84/150 | Best:    768,965.0 | Avg:    833,030.4
Gen  85/150 | Best:    768,965.0 | Avg:    840,170.5
Gen  86/150 | Best:    768,965.0 | Avg:    847,034.7
Gen  87/150 | Best:    768,965.0 | Avg:    854,777.9
Gen  88/150 | Best:    768,965.0 | Avg:    838,959.3
Gen  89/150 | Best:    768,965.0 | Avg:    828,831.5
Gen  90/150 | Best:    768,965.0 | Avg:    830,378.3
Gen  91/150 | Best:    768,965.0 | Avg:    828,413.5
Gen  92/150 | Best:    768,965.0 | Avg:    829,797.1
Gen  93/150 | Best:    768,965.0 | Avg:    826,581.5
Gen  94/150 | Best:    768,965.0 | Avg:    829,693.8
Gen  95/150 | Best:    768,965.0 | Avg:    828,319.6
Gen  96/150 | Best:    768,965.0 | Avg:    828,462.8
Gen  97/150 | Best:    768,503.5 | Avg:    828,738.2
Gen  98/150 | Best:    768,503.5 | Avg:    829,782.4
Gen  99/150 | Best:    768,503.5 | Avg:    829,042.9
Gen 100/150 | Best:    768,503.5 | Avg:    827,690.7
Gen 101/150 | Best:    768,503.5 | Avg:    827,692.8
Gen 102/150 | Best:    768,503.5 | Avg:    829,626.6
Gen 103/150 | Best:    768,361.1 | Avg:    829,808.8
Gen 104/150 | Best:    768,149.8 | Avg:    834,222.3
Gen 105/150 | Best:    768,149.8 | Avg:    835,030.4
Gen 106/150 | Best:    768,149.8 | Avg:    846,113.1
Gen 107/150 | Best:    768,149.8 | Avg:    856,081.2
Gen 108/150 | Best:    768,149.8 | Avg:    854,762.1
Gen 109/150 | Best:    767,943.6 | Avg:    837,442.9
Gen 110/150 | Best:    767,943.6 | Avg:    829,154.7
Gen 111/150 | Best:    767,943.6 | Avg:    829,023.0
Gen 112/150 | Best:    767,943.6 | Avg:    827,058.9
Gen 113/150 | Best:    767,943.6 | Avg:    827,481.9
Gen 114/150 | Best:    767,943.6 | Avg:    826,216.2
Gen 115/150 | Best:    767,943.6 | Avg:    827,961.4
Gen 116/150 | Best:    767,943.6 | Avg:    828,227.6
Gen 117/150 | Best:    767,943.6 | Avg:    825,937.8
Gen 118/150 | Best:    767,943.6 | Avg:    825,551.4
Gen 119/150 | Best:    767,943.6 | Avg:    830,565.5
Gen 120/150 | Best:    767,943.6 | Avg:    828,164.6
Gen 121/150 | Best:    767,943.6 | Avg:    826,777.8
Gen 122/150 | Best:    767,943.6 | Avg:    827,917.9
Gen 123/150 | Best:    767,943.6 | Avg:    829,102.1
Gen 124/150 | Best:    767,943.6 | Avg:    828,982.3
Gen 125/150 | Best:    767,943.6 | Avg:    829,076.2
Gen 126/150 | Best:    767,943.6 | Avg:    828,489.3
Gen 127/150 | Best:    767,943.6 | Avg:    828,920.1
Gen 128/150 | Best:    767,943.6 | Avg:    828,675.0
Gen 129/150 | Best:    767,943.6 | Avg:    828,844.8
Gen 130/150 | Best:    767,943.6 | Avg:    826,564.0
Gen 131/150 | Best:    767,943.6 | Avg:    828,224.2
Gen 132/150 | Best:    767,943.6 | Avg:    828,439.1
Gen 133/150 | Best:    767,943.6 | Avg:    825,927.4
Gen 134/150 | Best:    767,943.6 | Avg:    829,041.9
Gen 135/150 | Best:    767,943.6 | Avg:    827,332.8
Gen 136/150 | Best:    767,943.6 | Avg:    826,828.1
Gen 137/150 | Best:    767,943.6 | Avg:    827,468.0
Gen 138/150 | Best:    767,943.6 | Avg:    829,736.2
Gen 139/150 | Best:    767,943.6 | Avg:    831,335.8
Gen 140/150 | Best:    767,943.6 | Avg:    829,002.2
Gen 141/150 | Best:    767,943.6 | Avg:    826,615.2
Gen 142/150 | Best:    767,943.6 | Avg:    828,041.7
Gen 143/150 | Best:    767,943.6 | Avg:    825,058.7
Gen 144/150 | Best:    767,943.6 | Avg:    828,024.7
Gen 145/150 | Best:    767,943.6 | Avg:    830,252.1
Gen 146/150 | Best:    767,943.6 | Avg:    829,897.1
Gen 147/150 | Best:    767,943.6 | Avg:    828,471.3
Gen 148/150 | Best:    767,943.6 | Avg:    829,267.2
Gen 149/150 | Best:    767,943.6 | Avg:    827,376.3
Gen 150/150 | Best:    767,943.6 | Avg:    829,191.0

============================================================
EVOLUTION COMPLETE
============================================================


QWERTY Fitness: 1,821,199.8

QWERTY:
   q  w  e  r  t  y  u  i  o  p
   a  s  d  f  g  h  j  k  l  ;
   z  x  c  v  b  n  m  ,  .  '

