============================================================
OPTIMIZED GENETIC ALGORITHM FOR KEYBOARD LAYOUT
============================================================
Population: 100000 layouts
Elite size: 15000 (15.0%)
Tournament size: 5
Mutation rate: 0.2

Gen   1/150 | Best:  1,265,602.1 | Avg:  2,359,067.8
Gen   2/150 | Best:  1,198,083.0 | Avg:  2,091,385.2
Gen   3/150 | Best:  1,168,509.4 | Avg:  1,957,868.9
Gen   4/150 | Best:  1,148,101.8 | Avg:  1,873,685.6
Gen   5/150 | Best:  1,127,364.6 | Avg:  1,813,910.4
Gen   6/150 | Best:  1,075,608.3 | Avg:  1,761,488.6
Gen   7/150 | Best:  1,075,608.3 | Avg:  1,724,082.6
Gen   8/150 | Best:  1,062,099.1 | Avg:  1,693,053.5
Gen   9/150 | Best:  1,029,286.6 | Avg:  1,663,197.7
Gen  10/150 | Best:  1,029,286.6 | Avg:  1,639,029.9
Gen  11/150 | Best:  1,014,820.9 | Avg:  1,617,465.1
Gen  12/150 | Best:  1,014,820.9 | Avg:  1,600,009.1
Gen  13/150 | Best:    976,216.1 | Avg:  1,584,665.8
Gen  14/150 | Best:    976,216.1 | Avg:  1,570,499.1
Gen  15/150 | Best:    976,216.1 | Avg:  1,557,966.5
Gen  16/150 | Best:    976,216.1 | Avg:  1,544,415.1
Gen  17/150 | Best:    976,216.1 | Avg:  1,534,547.1
Gen  18/150 | Best:    958,063.9 | Avg:  1,529,044.1
Gen  19/150 | Best:    958,063.9 | Avg:  1,519,421.0
Gen  20/150 | Best:    939,049.4 | Avg:  1,512,656.9
Gen  21/150 | Best:    918,403.4 | Avg:  1,501,508.8
Gen  22/150 | Best:    918,403.4 | Avg:  1,494,145.2
Gen  23/150 | Best:    918,403.4 | Avg:  1,488,455.0
Gen  24/150 | Best:    918,403.4 | Avg:  1,485,341.0
Gen  25/150 | Best:    918,403.4 | Avg:  1,480,595.6
Gen  26/150 | Best:    918,403.4 | Avg:  1,472,250.4
Gen  27/150 | Best:    918,403.4 | Avg:  1,465,358.1
Gen  28/150 | Best:    918,403.4 | Avg:  1,458,174.6
Gen  29/150 | Best:    918,403.4 | Avg:  1,450,789.7
Gen  30/150 | Best:    918,403.4 | Avg:  1,446,361.9
