Configuration,Text,Final Fitness,Layout
Mutation_0.75,Wizard of Oz,124794.1,"['x', 'k', 'w', 's', 'h', 'c', 't', ',', 'z', ""'"", 'v', 'm', 'r', 'o', 'n', 'e', 'a', 'i', 'y', '.', 'q', 'b', 'p', 'l', 'd', 'u', 'g', 'f', ';', 'j']"
Mutation_0.1,Wizard of Oz,125204.4,"['x', 'k', 'w', 's', 'h', 'c', 't', ',', ';', ""'"", 'v', 'd', 'n', 'o', 'r', 'e', 'a', 'i', 'g', '.', 'q', 'b', 'l', 'p', 'm', 'u', 'y', 'f', 'z', 'j']"
Mutation_0.3,Wizard of Oz,125209.5,"['x', 'k', 'w', 's', 'h', 'c', 't', ',', 'z', ';', 'v', 'd', 'n', 'o', 'r', 'e', 'a', 'i', 'g', '.', 'q', 'b', 'l', 'p', 'm', 'u', 'y', 'f', 'j', ""'""]"
Mutation_0.2,Wizard of Oz,126414.5,"['j', 'k', 'g', 't', 'u', 'h', 's', 'c', 'b', 'q', '.', 'y', 'i', 'e', 'a', 'n', 'o', 'r', 'l', 'v', ';', 'z', ',', 'd', 'f', 'm', 'w', 'p', 'x', ""'""]"
Mutation_0.05,Wizard of Oz,127002.2,"['x', 'k', 't', 'i', 'a', 'h', 's', 'w', 'c', 'v', ';', 'u', 'o', 'd', 'e', 'n', 'r', 'l', 'f', 'p', 'q', 'j', '.', 'g', ',', 'm', 'y', 'b', 'z', ""'""]"
Mutation_0.15,Wizard of Oz,130209.4,"['q', 'g', 'c', 't', 'd', 'h', 's', 'n', 'k', 'x', 'p', 'u', 'i', 'a', 'e', 'r', 'o', 'l', ',', 'v', 'j', 'z', 'f', 'w', 'y', 'm', 'b', '.', ';', ""'""]"
Mutation_0.15,Moby Dick,769434.6,"['x', 'v', 'w', 'c', 'h', 'i', 't', 'k', 'z', ""'"", 'f', 'm', 'r', 's', 'n', 'e', 'a', 'o', ',', '.', 'q', 'b', 'p', 'l', 'd', 'g', 'u', 'y', ';', 'j']"
Mutation_0.5,Moby Dick,772398.3,"['q', 'z', 'g', 't', 'i', 'h', 'w', 'c', 'k', 'x', '.', 'u', 'o', 'a', 'e', 'n', 's', 'r', 'f', 'v', ""'"", ';', 'y', 'p', ',', 'd', 'l', 'm', 'b', 'j']"
Mutation_0.1,Moby Dick,776216.5,"['z', 'q', 'b', 'f', 'd', ',', 'g', 'y', 'j', ""'"", 'v', 'm', 'l', 'r', 'n', 'e', 'a', 'o', 'u', '.', 'x', 'k', 'p', 's', 'h', 'i', 't', 'c', 'w', ';']"
Mutation_0.2,Moby Dick,778895.1,"['q', 'k', 'c', 's', 'h', 'i', 't', 'u', 'w', ';', 'v', 'f', 'l', 'r', 'n', 'e', 'a', 'o', 'g', '.', 'z', 'x', 'b', 'm', 'd', ',', 'p', 'y', 'j', ""'""]"
Mutation_0.05,Moby Dick,780268.3,"['q', 'k', 'g', 't', 'i', 's', 'h', 'c', 'w', 'z', '.', 'u', 'o', 'a', 'e', 'n', 'r', 'l', 'f', 'v', ""'"", ';', 'y', 'p', ',', 'm', 'd', 'b', 'x', 'j']"
Mutation_0.3,Moby Dick,789764.3,"[""'"", ';', 'w', 't', ',', 'h', 's', 'c', 'k', 'x', '.', 'f', 'i', 'a', 'e', 'n', 'o', 'r', 'p', 'v', 'z', 'j', 'y', 'g', 'u', 'd', 'l', 'm', 'b', 'q']"
Mutation_0.75,Moby Dick,794820.0,"['q', 'k', 'c', 's', 'h', 'u', 't', 'w', ',', ';', 'v', 'd', 'n', 'o', 'r', 'e', 'a', 'i', 'g', '.', 'z', 'x', 'b', 'l', 'm', 'p', 'f', 'y', 'j', ""'""]"
Elite_5pct,Wizard of Oz,120633.7,"['j', ';', 'p', 'y', ',', 'd', 'l', 'm', 'b', ""'"", '.', 'u', 'o', 'a', 'e', 'n', 's', 'r', 'f', 'v', 'q', 'z', 'g', 't', 'i', 'h', 'w', 'c', 'k', 'x']"
Elite_30pct,Wizard of Oz,120638.1,"['q', 'z', 'c', 't', 'i', 'h', 's', 'w', 'k', 'x', '.', 'u', 'o', 'a', 'e', 'n', 'r', 'l', 'f', 'v', 'j', ';', 'g', 'y', ',', 'd', 'm', 'p', 'b', ""'""]"
